PBIUSI	Genus	species	Country	State_Prov	Sec_Subdiv	Locality	Lat	Lon	Start_Date	End_Date	Collector	Sex	Inst_Code	Project	Type	Det_By	Det_Date	Det_History	Spec_Notes	Loc_Notes	Accuracy	Coll_Method	Pres_Method	Spec_Count	Lat_Lon_Method	Lat_Lon_Accuracy	Elev_m	Elev_f	Elev_Det	Trip_Code	Dissections	Illustrations	Measurements	Photos	SEM	DNA	OrigUSI	Family	Subfamily	Tribe	Macro_Habitat	Micro_Habitat	Host_Family	Host_Genus	Host_species	Host_subspecies	Host_Author	Host_Common_Name	Host_Relation	Host_Location	Host_Emergence_Date	Host_with_Specimen
AMNH_BEE 00011380	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011381	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011382	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011383	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011384	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011385	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011386	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	JML	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011387	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	JML	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011388	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011389	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011390	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011391	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011392	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011393	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011394	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011395	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011396	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011397	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011398	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011399	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011400	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011401	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011402	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011403	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011404	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011405	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011406	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011407	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011408	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	26 Sep 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011409	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	01 Oct 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011410	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	01 Oct 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011411	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	01 Oct 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011412	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	01 Oct 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011413	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	01 Oct 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011414	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	01 Oct 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011415	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	01 Oct 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011416	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	01 Oct 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011417	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	02 Oct 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011418	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	02 Oct 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011419	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	02 Oct 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011420	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	02 Oct 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011421	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	02 Oct 2005		R. G. Goelet	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00011422	Andrena	asteris	USA	New York	Suffolk	Gardiners Island	41.09778	-72.10389	02 Oct 2005		R. G. Goelet	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2006					Netting	Pinned	1							NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00026697	Andrena	asteris	USA	Minnesota	Washington	2 mi S of Marine (on St. Croix)	45.17140	-92.76630	02 Sep 1990		P. S. Taylor	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2007					Netting	Pinned	1	Google Earth		220	722	Google Earth		NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00026698	Andrena	asteris	USA	Minnesota	Washington	2 mi S of Marine (on St. Croix)	45.17140	-92.76630	02 Sep 1990		P. S. Taylor	Adult Female	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2007					Netting	Pinned	1	Google Earth		220	722	Google Earth		NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00026699	Andrena	asteris	USA	Minnesota	Washington	2 mi S of Marine (on St. Croix)	45.17140	-92.76630	02 Sep 1990		P. S. Taylor	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2007					Netting	Pinned	1	Google Earth		220	722	Google Earth		NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00026700	Andrena	asteris	USA	Minnesota	Washington	2 mi S of Marine (on St. Croix)	45.17140	-92.76630	02 Sep 1990		P. S. Taylor	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2007					Netting	Pinned	1	Google Earth		220	722	Google Earth		NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
AMNH_BEE 00026701	Andrena	asteris	USA	Minnesota	Washington	2 mi S of Marine (on St. Croix)	45.17140	-92.76630	02 Sep 1990		P. S. Taylor	Adult Male	AMNH	Data citation: Digital Bee Collections Network, 2014 (and updates). Version: <download date>. National Science Foundation grant DBI 0956388; Contact: Ascher, John S. (dbsajs@nus.edu.sg)	None	J. S. Ascher	2007					Netting	Pinned	1	Google Earth		220	722	Google Earth		NO	NO	NO	NO	NO			Andrenidae	Andreninae	Andrenini												NO
